SmpDate,Name,DOB,Age,Years,Cyst,Male,ODV
9/4/14,Cauliflower,2/8/13,SA,1.568674424,0,0,-4.448787135
4/24/15,Oregon,12/22/07,A,7.337326032,0,1,-4.385191083
8/14/14,Vodka,3/24/03,A,11.39208305,0,1,-4.382525221
4/28/15,Vodka,3/24/03,A,12.0957107,0,1,-4.285191083
10/4/14,Zygote,11/5/13,I,0.911590235,0,1,-4.268032241
9/23/14,Akira,3/7/14,I,0.54745608,0,1,-4.251056338
9/24/14,Bucket,7/13/14,I,0.199863107,0,0,-4.251056338
9/23/14,Django,4/2/03,A,11.47695642,0,1,-4.251056338
10/20/14,Cassie,9/4/02,A,12.12594114,0,0,-4.094285247
5/12/15,Vodka,3/24/03,A,12.13404061,0,1,-4.085191083
9/3/14,Virga,11/8/11,SA,2.819872234,0,0,-4.083371402
10/6/14,Zoe,10/2/09,A,5.01026694,0,0,-4.068032241
5/14/15,Gashaw,1/27/05,A,10.29146703,0,1,-4.020450751
10/12/14,Oregon,12/22/07,SA,6.80618298,0,1,-3.983371402
10/11/14,Aiwa,11/3/03,A,10.93759982,0,0,-3.982525221
4/15/15,Noha,4/11/03,A,12.0109514,0,1,-3.785191083
10/29/14,Oregon,12/22/07,SA,6.852726443,0,1,-3.783371402
10/27/14,Mastika,9/20/14,I,0.101300479,0,0,-3.683371402
10/13/14,Gashaw,1/27/05,A,9.708304814,0,1,-3.682525221
10/21/14,Munchkin,2/1/09,A,5.716518366,0,0,-3.668032241
10/2/14,Vex,12/1/07,SA,6.836299338,0,1,-3.663056126
8/17/14,Mufassa,3/18/14,I,0.41615332,0,1,-3.663056126
5/7/15,Otangle,4/15/04,A,11.05817933,0,1,-3.585191083
10/18/14,Qalada,2/23/13,SA,1.648072097,0,0,-3.568032241
8/21/14,Madeline,10/1/05,A,8.887063655,0,0,-3.563056126
5/7/15,Demon,12/10/06,A,8.405087839,0,1,-3.535191083
9/9/14,Cuervo,9/30/10,SA,3.942505133,0,1,-3.520450751
4/9/15,Don Juan,9/14/06,SA,8.566735113,0,1,-3.485191083
5/5/15,Wakawaca,7/23/05,A,9.782340862,0,1,-3.485191083
10/7/14,Bronte,11/12/06,A,7.901323295,0,0,-3.482525221
8/11/14,Mhetik,3/29/02,A,12.36949578,0,1,-3.482525221
10/14/14,Mekele,1/25/14,I,0.717202829,0,1,-3.394285247
8/12/14,Coco,2/17/04,A,10.48311659,0,0,-3.382525221
8/14/14,Vladimir,6/11/12,SA,2.173853525,0,1,-3.382525221
10/18/14,Talisman,11/1/05,A,8.960871549,0,1,-3.368032241
9/3/14,Vladimir,6/11/12,SA,2.228610541,0,1,-3.363056126
9/20/14,Nymphadora,12/18/06,A,7.756217203,0,0,-3.294285247
4/9/15,Vex,12/1/07,SA,7.353753137,0,1,-3.285191083
4/28/15,Bianca,8/16/10,A,4.698151951,0,0,-3.285191083
5/7/15,Demon,12/10/06,A,8.405087839,0,1,-3.285191083
8/11/14,Doppler,10/4/11,SA,2.85284052,0,1,-3.282525221
10/18/14,Zimbaba,6/7/88,A,26.36276523,0,0,-3.268032241
9/21/14,Nymphadora,12/18/06,A,7.758955054,0,0,-3.194285247
10/5/14,Amelia,2/8/10,A,4.654232261,0,0,-3.168032241
8/24/14,Mei,8/7/12,SA,2.045174538,0,0,-3.168032241
9/15/15,Cuervo,9/30/10,SA,4.958247775,0,1,-3.148787135
4/14/15,Fabio,4/5/06,A,9.023956194,0,1,-3.094285247
4/21/15,Otangle,4/15/04,A,11.01437372,0,1,-2.985191083
6/8/15,Wakawaca,7/23/05,A,9.875427789,0,1,-2.985191083
10/27/14,Gashaw,1/27/05,A,9.746634725,0,1,-2.983371402
9/4/14,Bunna,12/1/98,A,15.75895505,0,0,-2.948787135
10/7/14,Daisy,10/18/09,SA,4.969199179,0,0,-2.882525221
9/22/14,Bucket,7/13/14,I,0.194387406,0,0,-2.868032241
8/20/14,Boytije,11/24/07,SA,6.73773671,0,1,-2.868032241
8/13/14,Monica,6/6/93,A,21.18548939,0,0,-2.782525221
9/3/14,Gizmo,2/24/12,SA,2.524184349,0,1,-2.648787135
9/4/14,Zirzir,11/16/09,SA,4.799338353,0,1,-2.638139103
6/6/15,Wakawaca,7/23/05,A,9.869952088,0,1,-2.585191083
9/1/14,Corona,9/1/94,A,20,0,0,-2.548787135
8/28/14,Waggledance,9/29/10,SA,3.912388775,0,1,-2.513182283
8/14/14,Autumn,9/11/10,SA,3.923340178,0,0,-2.482525221
10/26/14,Gashaw,1/27/05,A,9.743896874,0,1,-2.468032241
9/8/14,Gibsha,6/18/13,I,1.223819302,0,1,-2.445009833
9/9/14,Clover,2/20/09,SA,5.549509468,0,0,-2.394285247
4/27/15,Cuervo,9/30/10,SA,4.572210815,0,1,-2.385191083
5/20/15,Fabio,4/5/06,A,9.122518823,0,1,-2.385191083
9/3/14,Vail,7/15/13,I,1.136208077,0,1,-2.345009833
8/14/14,Diana,5/25/07,A,7.222450376,0,0,-2.286127799
9/24/14,Bunna,12/1/98,A,15.81371207,0,0,-2.268032241
8/24/14,Dessie,1/27/03,A,11.5727812,0,0,-2.268032241
10/18/14,Glenda,7/23/02,A,12.23819302,0,0,-2.268032241
9/23/14,Qwoffi,4/30/14,I,0.399726215,0,1,-2.268032241
8/20/14,Gaga,6/13/13,I,1.185489391,0,0,-2.168032241
8/24/14,Opal,9/1/10,SA,3.978097194,0,0,-2.168032241
9/19/14,Opal,9/1/10,SA,4.049281314,0,0,-2.151056338
9/23/14,Autumn,9/11/10,SA,4.032854209,0,0,-2.148787135
8/11/14,Cinnamon,1/10/13,I,1.582363678,0,0,-2.086127799
5/11/15,Otangle,4/15/04,A,11.06913073,0,1,-2.085191083
8/14/14,Vixen,12/1/07,A,6.70214465,0,0,-2.082525221
8/24/14,Madeline,10/1/05,A,8.895277207,0,0,-2.052080123
10/29/14,Don Juan,9/14/06,SA,8.123203285,0,1,-2.048630137
4/8/15,Keegle,3/1/01,A,14.10255533,0,0,-2.035191083
9/22/14,Beverly,12/15/04,A,9.768537531,0,0,-1.994285247
4/24/15,Sean,10/24/07,A,7.498973306,0,1,-1.885191083
9/22/14,Bimbi,12/30/11,A,2.729523158,0,0,-1.851056338
5/21/15,Otangle,4/15/04,A,11.09650924,0,1,-1.785191083
9/15/15,Tecate,9/2/07,SA,8.03559206,0,1,-1.748787135
8/20/14,Eric,1/15/10,SA,4.593999544,0,1,-1.713182283
5/14/15,Zion,1/1/97,A,18.36265115,0,0,-1.652080123
8/13/14,Dinky,4/1/13,I,1.366187543,0,0,-1.613182283
4/21/15,Mhetik,3/29/02,A,13.06217203,0,1,-1.585191083
9/19/14,Caipirinhia,6/1/13,SA,1.300479124,0,0,-1.568032241
4/21/15,Lennon,12/6/05,A,9.371549167,0,1,-1.551857749
10/14/14,Madeline,10/1/05,A,9.034907598,0,0,-1.494285247
10/15/14,Nymphadora,12/18/06,A,7.824663473,0,0,-1.494285247
9/17/14,Johnny Depp,1/22/02,A,12.65149441,0,1,-1.448787135
10/6/14,Zebra,7/2/07,SA,7.263518138,0,0,-1.351056338
8/29/14,Momo,12/10/13,I,0.717202829,0,1,-1.345009833
5/19/15,Zoe,10/2/09,A,5.626283368,0,0,-1.326181329
8/16/14,Capricorn,12/1/05,A,8.706251426,0,0,-1.320450751
10/15/14,Mebet,2/25/14,I,0.635067305,0,0,-1.168032241
5/18/15,Fabio,4/5/06,A,9.117043121,0,1,-1.152080123
10/17/14,Madeline,10/1/05,A,9.04312115,0,0,-1.094285247
10/19/14,Keegle,3/1/01,A,13.63438284,0,0,-1.063056126
9/1/14,Millie,12/10/13,I,0.725416381,0,0,-1.045009833
6/6/15,Otangle,4/15/04,A,11.14031485,0,1,-1.026181329
4/17/15,Talisman,11/1/05,A,9.456422542,0,1,-0.985191083
5/19/15,Zebra,7/2/07,A,7.879534565,0,0,-0.926181329
4/8/15,Lennon,12/6/05,A,9.335957107,0,1,-0.885191083
4/8/15,Demon,12/10/06,A,8.325690167,0,1,-0.785191083
4/16/15,Otangle,4/15/04,A,11.00068446,0,1,-0.785191083
8/12/14,Kaleidescope,8/24/11,SA,2.967830253,0,0,-0.782525221
9/23/14,Omily,5/10/07,A,7.37303217,0,0,-0.694285247
8/14/14,Cristos,9/26/13,I,0.881587953,0,1,-0.645009833
9/20/14,Nadia,9/1/05,A,9.051334702,0,0,-0.568032241
5/20/15,Fabio,4/5/06,A,9.122518823,0,1,-0.526181329
9/18/14,Omily,5/10/07,A,7.359342916,0,0,-0.494285247
10/6/14,Zoo,3/26/01,A,13.53034451,0,0,-0.494285247
8/20/14,Mimi,9/9/98,A,15.94524298,0,0,-0.413182283
8/24/14,Django,4/2/03,A,11.3948209,0,1,-0.413182283
8/11/14,Cassie,9/4/02,A,11.93429158,0,0,-0.394285247
10/18/14,Madeline,10/1/05,A,9.045859001,0,0,-0.294285247
9/17/14,Bumblebee,4/19/01,A,13.41273101,0,1,-0.248787135
10/12/14,Vishnu,12/25/13,I,0.796600502,0,0,-0.245009833
8/14/14,Amelia,2/8/10,SA,4.51186402,0,0,-0.182525221
5/18/15,Sega,8/17/04,A,10.74880219,0,1,-0.152080123
9/3/14,Vimto,1/17/12,SA,2.628222679,0,1,-0.038139103
4/18/15,Erckel,7/8/06,A,8.777549624,0,1,0.014808917
10/19/14,Zimbaba,6/7/88,A,26.36550308,0,0,0.031967759
8/24/14,Tecate,9/2/07,SA,6.976043806,0,1,0.036943874
10/11/14,Tea,6/4/02,A,12.35318275,0,0,0.063872201
8/27/14,Todd,7/7/14,I,0.13963039,0,1,0.086817717
4/17/15,Cassie,9/4/02,A,12.61601643,0,0,0.161860897
8/13/14,Myce,10/29/12,I,1.787816564,0,0,0.186817717
4/15/15,Demon,12/10/06,A,8.344855122,0,1,0.214808917
10/11/14,Todd,7/7/14,I,0.262833676,0,1,0.254990167
5/19/15,Wakawaca,7/23/05,A,9.820670773,0,1,0.307152004
10/18/14,Gladys,6/1/96,A,18.37919233,0,0,0.331967759
5/18/15,Nono,11/12/14,I,0.51186402,0,1,0.347919877
10/13/14,Sega,8/17/04,A,10.15468857,0,1,0.405714753
8/19/14,Nymphadora,12/18/06,A,7.668605978,0,0,0.405714753
9/4/14,Cynthia,1/24/10,SA,4.610426648,0,0,0.436943874
5/21/15,Erckel,7/8/06,A,8.8678987,0,1,0.473818671
10/6/14,Vodka,3/24/03,A,11.53718914,0,1,0.548943662
8/21/14,Delia,2/16/01,A,13.50844171,0,0,0.554990167
5/7/15,Otangle,4/15/04,A,11.05817933,0,1,0.614808917
9/4/14,Zebra,7/2/07,A,7.175906913,0,0,0.651212865
8/11/14,Chuxi,7/28/06,A,8.038329911,0,0,0.705714753
10/14/14,Tess,4/18/06,A,8.490075291,0,0,0.717474779
10/18/14,Zion,1/1/97,A,17.79317819,0,0,0.779549249
8/25/14,Valerie,3/1/01,A,13.48380105,0,0,0.786817717
5/21/15,Demon,12/10/06,A,8.44341775,0,1,0.873818671
10/17/14,Capricorn,12/1/05,A,8.875998175,0,0,0.931967759
8/11/14,Dinky,4/1/13,I,1.360711841,0,0,0.947919877
10/7/14,Lennon,12/6/05,A,8.834930413,0,1,1.017474779
10/18/14,Setey,7/25/02,A,12.23271732,0,1,1.031967759
4/24/15,Demon,12/10/06,A,8.369495779,0,1,1.048142251
8/20/14,Miagi,9/23/10,SA,3.906913073,0,1,1.086817717
8/19/14,Tickle,3/14/11,SA,3.433264887,0,0,1.186817717
5/18/15,Sega,8/17/04,A,10.74880219,0,1,1.247919877
8/16/14,Johnny Depp,1/22/02,A,12.56388319,0,1,1.286817717
5/20/15,Gap,1/1/02,A,13.37976272,0,1,1.323818671
9/18/14,Orchid,9/10/13,I,1.021218344,0,0,1.431967759
8/20/14,Top,10/1/03,A,10.88569473,0,0,1.431967759
8/13/14,Jools,7/1/03,A,11.11841205,0,0,1.513872201
8/20/14,Tess,4/18/06,A,8.339493498,0,0,1.531967759
9/9/14,Joker,11/19/09,SA,4.804814054,0,1,1.551212865
8/23/14,Vienna,3/11/07,A,7.452315765,0,0,1.561860897
6/8/15,Wakawaca,7/23/05,A,9.875427789,0,1,1.561860897
4/24/15,Erckel,7/8/06,A,8.793976728,0,1,1.614808917
9/6/14,Lennon,12/6/05,A,8.750057039,0,1,1.651212865
8/17/14,Baggins,9/9/08,SA,5.935660507,0,1,1.736943874
5/14/15,Jason Bourne,1/1/08,SA,7.36470454,0,1,1.747919877
5/15/15,Jason Bourne,1/1/08,SA,7.367442391,0,1,1.747919877
8/14/14,Thumper,8/5/09,SA,5.023956194,0,0,1.805714753
4/20/15,Talisman,11/1/05,A,9.464636094,0,1,1.914808917
10/19/14,Sol,12/27/04,A,9.809605293,0,1,1.931967759
6/10/15,Bumblebee,4/19/01,A,14.14099932,0,1,1.973818671
8/16/14,Moira,7/12/07,A,7.09650924,0,0,1.986817717
10/14/14,Thumper,8/5/09,SA,5.190965092,0,0,2.017474779
8/29/14,Yoshi,3/9/06,A,8.473534109,0,1,2.036943874
5/20/15,Noha,4/11/03,A,12.10677618,0,1,2.073818671
9/23/14,Omily,5/10/07,A,7.37303217,0,0,2.105714753
10/17/14,Mekele,1/25/14,I,0.725416381,0,1,2.116628598
9/18/14,Crunch,10/30/13,I,0.884325804,0,1,2.131967759
10/26/14,Monica,6/6/93,A,21.38809035,0,0,2.131967759
10/24/14,Noggin,6/1/05,A,9.396303901,0,0,2.131967759
9/6/14,Kylie,3/11/07,A,7.490645676,0,0,2.151212865
6/8/15,Otangle,4/15/04,A,11.14579055,0,1,2.173818671
5/14/15,Talisman,11/1/05,A,9.530344513,0,1,2.247919877
8/13/14,Moo,10/24/02,A,11.80287474,0,0,2.286817717
8/17/14,Nardos,9/1/99,A,14.9596167,0,0,2.286817717
8/19/14,Nadia,9/1/05,A,8.963723477,0,0,2.286817717
9/6/14,Bronte,11/12/06,A,7.81644992,0,0,2.351212865
9/15/15,Devil,1/2/99,A,16.70077572,0,1,2.505714753
10/19/14,Nardos,9/1/99,A,15.1321013,0,0,2.531967759
10/17/14,Mufassa,3/18/14,I,0.583162218,0,1,2.705714753
8/29/14,Sawyer,2/7/99,A,15.5563541,0,1,2.751212865
6/8/15,Otangle,4/15/04,A,11.14579055,0,1,2.773818671
8/24/14,Gap,1/1/02,A,12.64328086,0,1,2.786817717
9/22/14,Biggie,7/19/14,I,0.177960301,0,1,2.848943662
6/10/15,Fabio,4/5/06,A,9.180013689,0,1,2.873818671
5/19/15,Mhetik,3/29/02,A,13.13883185,0,1,2.973818671
5/12/15,Fabio,4/5/06,A,9.100616016,0,1,3.005714753
5/20/15,Wakawaca,7/23/05,A,9.823408624,0,1,3.023818671
10/11/14,Horatio,6/30/11,SA,3.282683094,0,1,3.036943874
6/8/15,Zion,1/1/97,A,18.43109742,0,0,3.073818671
8/16/14,MaiTai,10/18/10,SA,3.8275154,0,0,3.086817717
10/28/14,Jubilee,6/1/01,A,13.4072553,0,0,3.180877573
8/19/14,Kondrashov,11/10/12,I,1.771275382,0,0,3.186817717
10/19/14,Nadia,9/1/05,A,9.130732375,0,0,3.231967759
10/28/14,Monica,6/6/93,A,21.39356605,0,0,3.261860897
6/10/15,Sega,8/17/04,A,10.81177276,0,1,3.273818671
4/21/15,Noha,4/11/03,A,12.02737851,0,1,3.314808917
10/4/14,Blarney,2/16/09,A,5.628907141,0,0,3.331967759
9/3/14,Toad,12/20/11,SA,2.704882501,0,1,3.336943874
9/22/14,Bronte,11/12/06,A,7.860255533,0,0,3.351369863
9/8/14,Copernicus,2/21/14,I,0.54471823,0,1,3.354990167
5/19/15,Wakawaca,7/23/05,A,9.820670773,0,1,3.373818671
8/16/14,Talisman,11/1/05,A,8.78838695,0,1,3.386817717
8/13/14,Gashaw,1/27/05,A,9.541295916,0,1,3.386817717
9/1/14,Buffy,9/3/08,A,5.993155373,0,0,3.454990167
5/19/15,Vodka,3/24/03,A,12.15320557,0,1,3.523818671
10/17/14,Boytije,11/24/07,SA,6.896532056,0,1,3.631967759
8/25/14,Vishnu,12/25/13,I,0.665183664,0,0,3.786817717
10/7/14,Mhetik,3/29/02,A,12.52555327,0,1,3.817474779
9/4/14,Zimbaba,6/7/88,A,26.24229979,0,0,3.851212865
6/6/15,Keegle,3/1/01,A,14.26408852,0,0,3.973818671
8/16/14,Mistletoe,12/3/12,I,1.700091262,0,0,3.986817717
5/21/15,Zoo,3/26/01,A,14.15183664,0,0,4.073818671
10/13/14,Aiwa,11/3/03,A,10.94307552,0,0,4.117474779
8/25/14,Horatio,6/30/11,SA,3.154004107,0,1,4.386817717
10/17/14,Talisman,11/1/05,A,8.958133698,0,1,4.431967759
6/8/15,Wakawaca,7/23/05,A,9.875427789,0,1,4.473818671
8/20/14,Guppy,6/15/14,I,0.180698152,0,0,4.554990167
10/20/14,Chuxi,7/28/06,A,8.229979466,0,0,4.605714753
10/17/14,Bumblebee,4/19/01,A,13.49486653,0,1,5.031967759
10/11/14,Taffy,8/17/05,A,9.149897331,0,0,5.055714753
8/11/14,Joker,11/19/09,SA,4.725416381,0,1,5.186817717
8/21/14,Talisman,11/1/05,A,8.802076204,0,1,5.286817717
5/14/15,Bumblebee,4/19/01,A,14.06707734,0,1,5.447919877
10/2/14,Delia,2/16/01,A,13.62343144,0,0,5.713872201
8/13/14,Mouse,12/15/04,A,9.6590235,0,0,5.817474779
9/24/14,Buffy,9/3/08,A,6.056125941,0,0,5.854990167
4/24/15,Jason Bourne,1/1/08,A,7.309947525,0,1,6.114808917
8/29/14,Munchkin,2/1/09,A,5.571412275,0,0,6.151212865
9/19/14,Mouse,12/15/04,A,9.760323979,0,0,6.351369863
9/6/14,Muckluck,1/1/14,I,0.678872918,0,0,6.554990167
8/20/14,Cristos,9/26/13,I,0.898015058,0,1,6.586817717
8/11/14,Vodka,3/24/03,A,11.3838695,0,1,6.717474779
10/14/14,Tipi,6/18/07,A,7.323750856,0,0,6.717474779
9/24/14,Bajaj,9/14/14,I,0.027378508,0,0,6.748943662
10/11/14,Akira,3/7/14,I,0.596737394,0,1,6.854990167
9/22/14,Beverly,12/15/04,A,9.768537531,0,0,6.905714753
9/8/14,Naughty,6/15/08,A,6.231348392,0,0,6.905714753
5/19/15,Gaia,10/24/07,A,7.567419576,0,0,6.914808917
10/7/14,Vye,2/1/99,A,15.67955738,0,0,6.917474779
10/5/14,Mohammed,9/9/14,I,0.07118412,0,1,6.948943662
9/8/14,Jack Sparrow,10/15/11,SA,2.899383984,0,1,7.051212865
9/9/14,Tdog,8/13/13,I,1.073237509,0,1,7.154990167
10/17/14,Cassie,9/4/02,A,12.11772758,0,0,7.251369863
10/17/14,Mufassa,3/18/14,I,0.583162218,0,1,7.26095403
8/16/14,Noggin,6/1/05,A,9.207392197,0,0,7.261860897
8/19/14,Vail,7/15/13,I,1.095140315,0,1,7.286817717
10/2/14,Jason Bourne,1/1/08,SA,6.751425964,0,1,7.505714753
8/16/14,Carmen,3/1/97,A,17.45916039,0,0,7.561860897
8/18/14,Dolly,9/3/09,SA,4.955509925,0,0,7.586817717
10/17/14,Lennon,12/6/05,A,8.862308921,0,1,7.617474779
10/16/14,Tater,5/15/07,A,7.422313484,0,0,7.66095403
10/17/14,Madeline,10/1/05,A,9.04312115,0,0,7.705714753
5/19/15,Setey,7/25/02,A,12.81587953,0,1,7.873818671
10/18/14,Avatar,9/25/11,SA,3.063655031,0,0,8.031967759
8/17/14,Toronto,11/13/09,SA,4.758270591,0,1,8.036943874
10/12/14,Noha,4/11/03,A,11.50444901,0,1,8.047919877
9/24/14,Byork,7/16/10,SA,4.191649555,0,0,8.248943662
9/21/14,Gibsha,6/18/13,I,1.259411362,0,1,8.748943662
10/26/14,Moira,7/12/07,A,7.290896646,0,0,9.031967759
9/4/14,Copernicus,2/21/14,I,0.533766826,0,1,9.154990167
10/15/14,Johnny Depp,1/22/02,A,12.72815423,0,1,9.317474779
4/14/15,Naughty,6/15/08,A,6.828199863,0,0,9.347919877
10/19/14,Zamboni,6/7/91,A,23.36755647,0,0,9.379549249
9/15/15,Midge,11/4/02,A,12.86230892,0,0,9.413872201
8/28/14,Sean,10/24/07,SA,6.844626968,0,1,9.480877573
10/2/14,Clover,2/20/09,SA,5.612480037,0,0,9.505714753
4/29/15,Imposter,2/1/06,A,9.237394479,0,1,9.514808917
8/18/14,Chuxi,7/28/06,A,8.057494867,0,0,9.905714753
8/11/14,Ceylon,6/15/05,A,9.155373032,0,0,9.913872201
8/28/14,Jason Bourne,1/1/08,SA,6.655601186,0,1,10.10571475
8/24/14,Mekele,1/25/14,I,0.577572439,0,1,10.60571475
6/8/15,Fabio,4/5/06,A,9.174537988,0,1,10.77381867
10/7/14,Corona,9/1/94,A,20.09856263,0,0,10.96747478
10/2/14,Sean,10/24/07,SA,6.940451745,0,1,11.25136986
10/17/14,Dolly,9/3/09,SA,5.119780972,0,0,11.25136986
8/31/14,Wakawaca,7/23/05,A,9.106091718,0,1,11.2618609
10/7/14,Delia,2/16/01,A,13.63712069,0,0,11.45499017
8/21/14,Midge,11/4/02,A,11.79454711,0,0,11.63694387
9/23/14,Elias,6/7/07,SA,7.296372348,0,1,11.84894366
9/21/14,Glenda,7/23/02,A,12.16427105,0,0,11.84894366
9/18/14,Oshkosh,12/6/94,A,19.78359571,0,0,11.85136986
10/17/14,Myrtle,9/10/14,I,0.101300479,0,0,11.93196776
10/11/14,Tipi,6/18/07,A,7.315537303,0,0,12.31747478
5/21/15,Lennon,12/6/05,A,9.453684691,0,1,12.37381867
10/4/14,Zirzir,11/16/09,SA,4.881473876,0,1,12.45136986
9/7/14,Zimbaba,6/7/88,A,26.25051335,0,0,12.68087757
8/13/14,Mistletoe,12/3/12,SA,1.691877709,0,0,13.01747478
10/2/14,Dixy,1/14/09,SA,5.713780516,0,0,13.05136986
8/20/14,Gypsy,7/18/01,A,13.08966461,0,0,13.23196776
10/27/14,Capricorn,12/1/05,A,8.903376683,0,0,13.33694387
4/8/15,Dessie,1/27/03,A,12.19427333,0,0,13.71480892
10/16/14,Taffy,8/17/05,A,9.163586585,0,0,13.80571475
9/18/14,Imposter,2/1/06,A,8.626853753,0,1,13.8618609
10/27/14,Ceylon,6/15/05,A,9.366187543,0,0,13.9138722
10/7/14,Vienna,3/11/07,A,7.575519051,0,0,14.05136986
8/12/14,Ant,12/16/08,A,5.653547798,0,0,14.35136986
4/20/15,Crunch,10/30/13,I,1.470225873,0,1,14.61480892
8/14/14,Dixy,1/14/09,SA,5.579625827,0,0,14.6618609
10/15/14,Joker,11/19/09,SA,4.903376683,0,1,14.75136986
10/18/14,Mary,8/25/97,A,17.14715948,1,0,14.90571475
10/26/14,Mowtat,8/16/14,I,0.194387406,0,0,15.1166286
8/20/14,Tater,5/15/07,A,7.266255989,0,0,15.23694387
10/11/14,Avett,2/17/14,I,0.646018709,0,1,15.70571475
8/25/14,Naughty,6/15/08,A,6.19301848,0,0,15.70571475
10/4/14,Crunch,10/30/13,I,0.928131417,0,1,15.84894366
10/15/14,Tea,6/4/02,A,12.36413415,0,0,15.9138722
10/4/14,Zion,1/1/97,A,17.75484828,0,0,16.06095403
10/12/14,Thumper,8/5/09,SA,5.185489391,0,0,16.10571475
9/16/14,Beverly,12/15/04,A,9.752110427,0,0,16.30571475
10/11/14,Tenesh,9/19/13,I,1.059548255,0,1,16.65499017
5/22/15,Naughty,6/15/08,A,6.932238193,0,0,16.76095403
10/5/14,Joker,11/19/09,SA,4.875998175,0,1,17.04894366
10/28/14,Coco,2/17/04,A,10.6939311,0,0,17.16095403
9/24/14,Bossy,9/25/10,A,3.997262149,0,0,17.34894366
